季度,国内生产总值-绝对值（亿元）,国内生产总值-同比增长,第一产业-绝对值（亿元）,第一产业-同比增长,第二产业-绝对值（亿元）,第二产业-同比增长,第三产业-绝对值（亿元）,第三产业-同比增长
2020年第1季度,206504.00,-6.80%,10186.00,-3.20%,73638.00,-9.60%,122680.00,-5.20%
2019年第1-4季度,990865.00,6.10%,70467.00,3.10%,386165.00,5.70%,534233.00,6.90%
2019年第1-3季度,697798.00,6.20%,43005.00,2.90%,277869.00,5.60%,376925.00,7.00%
2019年第1-2季度,450933.20,6.30%,23207.00,3.00%,179983.50,5.80%,247742.60,7.00%
2019年第1季度,213432.80,6.40%,8769.40,2.70%,82346.50,6.10%,122316.90,7.00%
2018年第1-4季度,900309.50,6.60%,64734.00,3.50%,366000.90,5.80%,469574.60,7.60%
2018年第1-3季度,646710.90,6.70%,39799.80,3.40%,261822.80,5.80%,345088.20,7.70%
2018年第1-2季度,417215.40,6.80%,21576.20,3.20%,168558.10,6.10%,227081.10,7.60%
2018年第1季度,197920.00,6.80%,8574.40,3.20%,77116.70,6.30%,112229.00,7.50%
2017年第1-4季度,820754.30,6.90%,62099.50,3.90%,332742.70,6.10%,425912.10,8.00%
2017年第1-3季度,588405.30,6.90%,39106.60,3.70%,237116.10,6.30%,312182.60,7.80%
2017年第1-2季度,378581.10,6.90%,20850.80,3.50%,152358.10,6.40%,205372.20,7.70%
2017年第1季度,179403.40,6.90%,8205.90,3.00%,69704.30,6.40%,101493.20,7.70%
2016年第1-4季度,740060.80,6.70%,60139.20,3.30%,296547.70,6.30%,383373.90,7.70%
2016年第1-3季度,530183.60,6.70%,38411.00,3.50%,210754.80,6.30%,281017.80,7.50%
2016年第1-2季度,340846.00,6.70%,20868.70,3.00%,135115.80,6.20%,184861.50,7.50%
2016年第1季度,160967.30,6.70%,8312.70,2.90%,61385.10,6.00%,91269.40,7.50%
2015年第1-4季度,685992.90,6.90%,57774.60,3.90%,282040.30,6.20%,346178.00,8.20%
2015年第1-3季度,494272.10,6.90%,36398.50,3.80%,203537.40,6.20%,254336.20,8.20%
2015年第1-2季度,318468.40,7.00%,19225.40,3.50%,131872.10,6.30%,167370.80,8.10%
2015年第1季度,150593.80,7.00%,7373.20,3.10%,60724.70,6.40%,82495.90,7.80%
2014年第1-4季度,641280.60,7.30%,55626.30,4.10%,277571.80,7.40%,308082.50,7.80%
2014年第1-3季度,461090.30,7.30%,35104.20,4.10%,199787.40,7.60%,226198.70,7.60%
2014年第1-2季度,296192.50,7.40%,18249.40,3.70%,128762.60,7.70%,149180.50,7.60%
2014年第1季度,140270.20,7.40%,7140.00,3.20%,59221.50,7.60%,73908.70,7.60%
2013年第1-4季度,592963.20,7.80%,53028.10,3.80%,261956.10,8.00%,277979.10,8.30%
2013年第1-3季度,425190.90,7.80%,33163.70,3.30%,187743.60,7.90%,204283.60,8.40%
2013年第1-2季度,272968.20,7.70%,17258.80,2.80%,120993.60,7.70%,134715.80,8.30%
2013年第1季度,129449.60,7.90%,6869.10,3.00%,55862.30,7.80%,66718.10,8.40%
2012年第1-4季度,538580.00,7.90%,49084.50,4.50%,244643.30,8.40%,244852.20,8.00%
2012年第1-3季度,386767.90,7.80%,31013.30,4.20%,176008.80,8.30%,179745.90,7.80%
2012年第1-2季度,248678.30,7.90%,16357.30,4.30%,113751.50,8.70%,118569.50,7.60%
2012年第1季度,117357.60,8.10%,6446.00,3.70%,52317.40,9.50%,58594.30,7.30%
2011年第1-4季度,487940.20,9.50%,44781.40,4.20%,227038.80,10.70%,216120.00,9.50%
2011年第1-3季度,349928.00,9.80%,28591.60,3.50%,162703.30,11.00%,158633.10,9.90%
2011年第1-2季度,223365.80,10.10%,14736.00,2.90%,104079.80,11.10%,104550.00,10.10%
